FID,IZ05CD,IZ05NM
536,S02000636,Garrowhill West
537,S02000637,Cardonald North
538,S02000638,Craigton
539,S02000639,Hillington
540,S02000640,Greenfield
541,S02000641,Penilee
542,S02000642,Kinning Park and Festival Park
543,S02000643,Old Shettleston and Parkhead North
544,S02000644,Ibrox East and Cessnock
545,S02000645,Garrowhill East and Swinton
546,S02000646,Barlanark
547,S02000647,Gallowgate North and Bellgrove
548,S02000648,Carntyne West and Haghill
549,S02000649,Ibrox
550,S02000650,Dennistoun
551,S02000401,"Abbeyhill, Meadowbank and Marionville"
552,S02000551,Leslie and Newcastle
553,S02000451,Douglas
554,S02000501,"Valleyfield, Culross and Torryburn"
555,S02000651,Anderston
556,S02000402,Hillside and Calton Hill
557,S02000403,Restalrig (Loganlea)
558,S02000404,Stockbridge
559,S02000405,New Town East
560,S02000406,Craigentinny
561,S02000407,Craigleith
562,S02000408,Comely Bank
563,S02000409,Lorne
564,S02000410,Restalrig and Lochend
565,S02000411,Drylaw
566,S02000412,Broughton
567,S02000413,Barnton and Cammo
568,S02000414,Hermitage Park and Prospect Bank
569,S02000415,Inverleith
570,S02000416,South Leith
571,S02000417,Silverknowes and Davidson's Mains
572,S02000418,Bonnington and Pilrig
573,S02000419,Muirhouse
574,S02000420,Great Junction Street
575,S02000421,Cramond
576,S02000422,West Pilton
577,S02000423,Boswall and Pilton
578,S02000424,East Trinity and Bonnyhaugh
579,S02000425,Trinity
580,S02000426,Leith Docks
581,S02000427,North Leith and Newhaven
582,S02000428,Waterfront and Granton
583,S02000429,South Queensferry (East) and Dalmeny
584,S02000430,South Queensferry West
585,S02000431,Barra and South Uist
586,S02000432,Benbecula and North Ui
587,S02000433,Harris
588,S02000434,South Lewis
589,S02000435,Point
590,S02000436,Stornoway East
591,S02000437,Stornoway West
592,S02000438,Broadbay
593,S02000439,Northwest Lewis
594,S02000440,Braes Villages
595,S02000441,Shieldhill
596,S02000442,Maddiston and Rumford
597,S02000443,"Lochgreen, Lionthorn and Prospecthill"
598,S02000444,"Brightons, Reddingmuirhead and Wallacest"
599,S02000445,Banknock and Haggs
600,S02000446,Hallglen and Glen Village
601,S02000447,Redding
602,S02000448,High Bonnybridge and Greenhill
603,S02000449,Polmont
604,S02000450,Laurieston and Westquarter
605,S02000652,North Barlanark and Easterhouse South
606,S02000653,Easterhouse East
607,S02000654,"Cranhill, Lightburn and Queenslie South"
608,S02000655,City Centre West
609,S02000656,Govan and Linthouse
610,S02000657,Carntyne
611,S02000658,City Centre East
612,S02000659,Dennistoun North and Alexandra Parade
613,S02000660,Drumoyne and Shieldhall
614,S02000661,Finnieston and Kelvinhaugh
615,S02000662,Central Easterhouse
616,S02000663,Craigend and Ruchazie
617,S02000664,Hillhead
618,S02000665,Woodlands
619,S02000666,"Roystonhill, Blochairn, and Provanmill"
620,S02000667,Riddrie and Hogganfield
621,S02000668,Glasgow Harbour and  Partick South
622,S02000669,Woodside
623,S02000670,Sighthill
624,S02000671,Partick
625,S02000672,Kelvingrove and University
626,S02000673,Whiteinch
627,S02000674,"Garthamlock, Auchinlea and Gartloch"
628,S02000675,Firhill
629,S02000676,Cowlairs and Port Dundas
630,S02000677,Partickhill and Hyndland
631,S02000678,Blackhill and Barmulloch East
632,S02000679,Broomhill
633,S02000680,Petershill
634,S02000681,Dowanhill
635,S02000682,Victoria Park
636,S02000683,North Kelvin
637,S02000684,Scotstoun South and West
638,S02000685,Keppochhill
639,S02000686,Scotstoun North and East
640,S02000687,Barmulloch
641,S02000688,Ruchill
642,S02000689,Kelvinside and Jordanhill
643,S02000690,Kelvindale
644,S02000691,Springburn
645,S02000692,Possil Park
646,S02000693,Wyndford
647,S02000694,Springburn East and Cowlairs
648,S02000695,Robroyston and Millerston
649,S02000696,Yoker South
650,S02000697,Balornock
651,S02000698,Knightswood Park East
652,S02000699,Knightswood East
653,S02000700,Maryhill West
654,S02000502,Dunfermline Touch and Woodmill
655,S02000452,Falkirk Town Centre and Callendar Park
656,S02000552,Leven West
657,S02000553,Glenrothes Macedonia and Tanshall
658,S02000554,Glenrothes South Parks
659,S02000555,Leven North
660,S02000556,Glenrothes Cadham and Pitcoudie
661,S02000557,Kennoway
662,S02000558,St Monans and Pittenweem
663,S02000559,"Glenrothes Balfarg, Pitcairn and Coul"
664,S02000560,Glenrothes Collydean
665,S02000561,Glenrothes Balgeddie
666,S02000562,Markinch and Star
667,S02000563,Largo
668,S02000564,"Elie, Colinsburgh and Largoward"
669,S02000565,Anstruther
670,S02000566,Leven East and Bonnybank
671,S02000567,Falkland and Freuchie
672,S02000568,Kettle and Ladybank
673,S02000569,Crail and Boarhills
674,S02000570,Auchtermuchty and Gateside
675,S02000571,"Dairsie, Ceres and Dunino"
676,S02000572,St Andrews South West
677,S02000573,Cupar West and Springfield
678,S02000574,Cupar East
679,S02000575,Cupar Central
680,S02000576,St Andrews South East
681,S02000577,St Andrews Central
682,S02000578,St Andrews North and Strathkinness
683,S02000579,Newburgh
684,S02000580,Leuchars and Guardbridge
685,S02000581,Balmullo and Gauldry
686,S02000582,Newport and Wormit
687,S02000583,Tayport
688,S02000584,Carmunnock South
689,S02000585,Glenwood South
690,S02000586,Darnley West
691,S02000587,Darnley East
692,S02000588,Glenwood North
693,S02000589,Castlemilk
694,S02000590,Darnley North
695,S02000591,Carmunnock North
696,S02000592,Carnwadric West
697,S02000593,Muirend and Old Cathcart
698,S02000594,Carnwadric East
699,S02000595,Kingspark South
700,S02000596,Newlands
701,S02000597,Nitshill
702,S02000598,Merrylee and Millbrae
703,S02000599,Cathcart
704,S02000600,Kingspark North
705,S02000453,Bantaskin
706,S02000454,"Blackness, Carriden and Grahamsdyke"
707,S02000455,Tamfourhill
708,S02000456,Bowhouse
709,S02000457,Newtown
710,S02000458,Camelon West
711,S02000459,Camelon East
712,S02000460,Grahamston
713,S02000461,Head of Muir and Dennyloanhead
714,S02000462,Middlefield
715,S02000463,Newlands
716,S02000464,Kersiebank
717,S02000465,Bonnybridge
718,S02000466,Kinneil
719,S02000467,Merchiston and New Carron Village
720,S02000468,Grangemouth Town Centre
721,S02000469,Nethermains
722,S02000470,Bainsford and Langlees
723,S02000471,Larbert Village and South Broomage
724,S02000472,Stenhousemuir East
725,S02000473,"Fankerton, Stoneywood and Denny Town"
726,S02000474,Carron
727,S02000475,Stenhousemuir West
728,S02000476,Carronshore
729,S02000477,North Broomage and Inches
730,S02000478,Antonshill
731,S02000479,Dunipace
732,S02000480,Carse and Grangemouth Old Town
733,S02000481,North Queensferry and Inverkeithing West
734,S02000482,Rosyth South
735,S02000483,Inverkeithing East
736,S02000484,Dalgety Bay Central
737,S02000485,Dalgety Bay West and Hillend
738,S02000486,Rosyth Central
739,S02000487,Dalgety Bay East
